date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:23	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jan%202022%2012:34:22%20GMT	https://eloquentjavascript.net/robots.txt		(from )
23:04:23	6365/6365	---M--	200	added ('OK')	text/html	etag:%22603f40b6-18dd%22	https://eloquentjavascript.net/	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/index.html	(from )
23:04:23	7594/7594	---M--	200	added ('OK')	text/css	etag:%225af011f6-1daa%22	https://eloquentjavascript.net/css/ejs.css	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/css/ejs.css	(from https://eloquentjavascript.net/)
23:04:25	99962/99962	---M--	200	added ('OK')	image/jpeg	etag:%225bd8739c-1867a%22	https://eloquentjavascript.net/img/cover.jpg	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/img/cover.jpg	(from https://eloquentjavascript.net/)
23:04:25	1088/1088	---M--	200	added ('OK')	text/plain	etag:%225e9dfe17-440%22	https://eloquentjavascript.net/code/LICENSE	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/code/LICENSE	(from https://eloquentjavascript.net/)
23:04:26	15985/15985	---M--	200	added ('OK')	text/html	etag:%225a7b8197-3e71%22	https://eloquentjavascript.net/backers3.html	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/backers3.html	(from https://eloquentjavascript.net/)
23:04:27	1151/1151	---M--	200	added ('OK')	image/png	etag:%225a70a482-47f%22	https://eloquentjavascript.net/img/nextjournal.png	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/img/nextjournal.png	(from https://eloquentjavascript.net/)
23:04:28	3584/3584	---M--	200	added ('OK')	image/png	etag:%225a70a482-e00%22	https://eloquentjavascript.net/img/holberton.png	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/img/holberton.png	(from https://eloquentjavascript.net/)
23:04:30	67708/67708	---M--	200	added ('OK')	text/html	etag:%225c1b7c3d-1087c%22	https://eloquentjavascript.net/backers.html	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/backers.html	(from https://eloquentjavascript.net/)
23:04:30	1815/1815	---M--	200	added ('OK')	image/png	etag:%2259edf878-717%22	https://eloquentjavascript.net/img/mozilla_mini.png	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/img/mozilla_mini.png	(from https://eloquentjavascript.net/)
23:04:31	3989/3989	---M--	200	added ('OK')	image/png	etag:%2259edf878-f95%22	https://eloquentjavascript.net/img/hack_reactor_mini.png	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/img/hack_reactor_mini.png	(from https://eloquentjavascript.net/)
23:04:32	2280/2280	---M--	200	added ('OK')	image/png	etag:%2259edf878-8e8%22	https://eloquentjavascript.net/img/ghostery_mini.png	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/img/ghostery_mini.png	(from https://eloquentjavascript.net/)
23:04:33	30067/30067	---M--	200	added ('OK')	text/html	etag:%225f5b6845-7573%22	https://eloquentjavascript.net/00_intro.html	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/00_intro.html	(from https://eloquentjavascript.net/)
23:04:34	44685/44685	---M--	200	added ('OK')	text/html	etag:%225f5b6845-ae8d%22	https://eloquentjavascript.net/01_values.html	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/01_values.html	(from https://eloquentjavascript.net/)
23:04:36	70130/70130	---M--	200	added ('OK')	text/html	etag:%22608fb111-111f2%22	https://eloquentjavascript.net/02_program_structure.html	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/02_program_structure.html	(from https://eloquentjavascript.net/)
23:04:36	75457/75457	---M--	200	added ('OK')	text/html	etag:%225f5b6845-126c1%22	https://eloquentjavascript.net/03_functions.html	/Users/pascaleaugusts/websites/Eloquenst%20JS/eloquentjavascript.net/03_functions.html	(from https://eloquentjavascript.net/)
